iter	Passed	Remaining
0	838	83812980
1	1439	71977181
2	2040	68020541
3	2648	66212726
4	3234	64693769
5	3856	64273902
6	4463	63762236
7	5102	63775992
8	5741	63786861
9	6378	63777406
10	7005	63683285
11	7627	63554774
12	8252	63468987
13	8883	63443095
14	9424	62820760
15	10054	62829622
16	10679	62812336
17	11290	62712807
18	11876	62494532
19	12402	62000615
20	12867	61262818
21	13495	61330650
22	14027	60974562
23	14573	60708137
24	15117	60453091
25	15762	60609007
26	16376	60638157
27	17006	60721021
28	17578	60597836
29	18161	60518548
30	18815	60677230
31	19479	60853427
32	20129	60978253
33	20783	61105997
34	21417	61170479
35	22011	61120739
36	22593	61039874
37	23181	60981902
38	23653	60625630
39	24207	60494017
40	24816	60502868
41	25450	60570644
42	26006	60454292
43	26665	60576030
44	27246	60521167
45	27835	60483853
46	28408	60414455
47	28830	60035075
48	29356	59882403
49	29912	59794300
50	30549	59870623
51	31094	59766318
52	31729	59834660
53	32319	59818053
54	32897	59780929
55	33404	59616895
56	33914	59464732
57	34433	59334260
58	34959	59217782
59	35564	59237871
60	36027	59025515
61	36602	58998885
62	37118	58880848
63	37690	58853175
64	38349	58961047
65	38865	58848817
66	39498	58913578
67	40082	58905357
68	40716	58969169
69	41218	58842266
70	41785	58810860
71	42376	58814261
72	42985	58840679
73	43556	58816878
74	44122	58785630
75	44594	58632879
76	45111	58540816
77	45733	58587358
78	46372	58653357
79	46985	58684763
80	47512	58609416
81	47935	58410004
82	48512	58400738
83	49134	58444858
84	49726	58451591
85	50330	58473473
86	50892	58446467
87	51499	58470430
88	52052	58433710
89	52620	58415119
90	53202	58411153
91	53651	58263262
92	54261	58291148
93	54775	58216816
94	55307	58162714
95	55760	58028318
96	56350	58036719
97	56946	58051313
98	57433	57956672
99	57931	57873454
100	58547	57909226
101	59042	57825589
102	59546	57752500
103	60140	57766796
104	60689	57739149
105	61128	57606852
106	61688	57591144
107	62208	57538334
108	62734	57491531
109	63294	57477450
110	63808	57421633
111	64349	57390386
112	64910	57378196
113	65483	57376545
114	66067	57384062
115	66673	57410647
116	67203	57371315
117	67647	57260414
118	68221	57261188
119	68763	57234016
120	69365	57257537
121	69997	57304650
122	70496	57243965
123	71061	57236739
124	71741	57321204
125	72285	57297048
126	72850	57289638
127	73405	57274733
128	73999	57289975
129	74446	57192121
130	75037	57205301
131	75614	57208278
132	76184	57205313
133	76771	57215724
134	77323	57199694
135	77850	57165294
136	78394	57144040
137	78982	57154886
138	79545	57147559
139	80146	57167513
140	80746	57186270
141	81308	57177878
142	81929	57211758
143	82480	57195394
144	83053	57195336
145	83608	57182817
146	84125	57143840
147	84627	57096240
148	85172	57077877
149	85729	57067388
150	86334	57089000
151	86939	57110091
152	87430	57056431
153	88096	57117596
154	88730	57156449
155	89347	57184927
156	89889	57164754
157	90435	57147427
158	90995	57139083
159	91652	57190862
160	92257	57210429
161	92768	57171541
162	93419	57218999
163	93888	57155177
164	94446	57145746
165	94997	57132318
166	95471	57072965
167	96039	57070158
168	96556	57037562
169	97108	57025683
170	97673	57021543
171	98240	57018465
172	98836	57032286
173	99402	57028470
174	99878	56973716
175	100416	56954679
176	100989	56955156
177	101629	56993331
178	102192	56988649
179	102852	57037347
180	103480	57068214
181	104070	57077258
182	104692	57104488
183	105335	57142300
184	105843	57106942
185	106362	57077827
186	106965	57094065
187	107558	57104432
188	108042	57057390
189	108511	57002902
190	109088	57005544
191	109587	56967270
192	110196	56986441
193	110831	57018555
194	111412	57023131
195	112009	57035553
196	112500	56994428
197	113094	57005343
198	113648	56996262
199	114230	57001123
200	114801	57000378
201	115424	57025512
202	116102	57077058
203	116716	57097025
204	117139	57024037
205	117737	57036163
206	118362	57061769
207	118880	57035196
208	119436	57027434
209	120045	57044607
210	120634	57052304
211	121212	57054376
212	121762	57043686
213	122315	57034540
214	122894	57037196
